seed,budget,policy,accuracy,macro_f1,mean_queried_groups
60,4,canonical_fixed,0.16161616161616166,0.12335568160217529,4.0
60,4,static,0.18013468013468015,0.1515853767964062,4.0
60,4,value,0.14814814814814814,0.11078911326193935,4.0
60,4,value_singleton,0.19360269360269355,0.15310935655632057,4.0
60,4,static_value,0.18013468013468015,0.1515853767964062,4.0
60,8,canonical_fixed,0.18013468013468015,0.14883073850465156,8.0
60,8,static,0.2272727272727273,0.19427652902652903,8.0
60,8,value,0.20370370370370372,0.17699876001191792,7.952861952861953
60,8,value_singleton,0.2222222222222222,0.19000850946439182,7.914141414141414
60,8,static_value,0.23063973063973064,0.1993590524972104,7.023569023569023
60,16,canonical_fixed,0.2609427609427609,0.22718878343878343,16.0
60,16,static,0.29461279461279466,0.267353576978577,16.0
60,16,value,0.23905723905723908,0.21424845987345986,10.951178451178452
60,16,value_singleton,0.265993265993266,0.23486147186147185,11.782828282828282
60,16,static_value,0.24915824915824913,0.21678744866244867,7.723905723905724
60,28,canonical_fixed,0.32659932659932656,0.2968294483294483,28.0
60,28,static,0.32659932659932656,0.2968294483294483,28.0
60,28,value,0.2407407407407407,0.2141175074925075,11.132996632996633
60,28,value_singleton,0.2710437710437711,0.23828174603174604,11.97138047138047
60,28,static_value,0.24915824915824913,0.21678744866244867,7.765993265993266
61,4,canonical_fixed,0.1447811447811448,0.11283813408813409,4.0
61,4,static,0.17845117845117842,0.14232760703348937,4.0
61,4,value,0.13131313131313127,0.10433718547534337,4.0
61,4,value_singleton,0.12962962962962965,0.09950990621578856,4.0
61,4,static_value,0.17845117845117842,0.14232760703348937,4.0
61,8,canonical_fixed,0.202020202020202,0.16841652791652792,8.0
61,8,static,0.25757575757575757,0.21297775263951735,8.0
61,8,value,0.20707070707070707,0.1589226833108412,7.994949494949495
61,8,value_singleton,0.23232323232323238,0.1878536257538546,7.910774410774411
61,8,static_value,0.25084175084175087,0.20678746587314362,7.328282828282828
61,16,canonical_fixed,0.2592592592592593,0.21698171273171274,16.0
61,16,static,0.2912457912457912,0.253787074037074,16.0
61,16,value,0.24410774410774416,0.20296359770497702,10.804713804713804
61,16,value_singleton,0.24579124579124578,0.19936359310624016,10.235690235690235
61,16,static_value,0.27441077441077444,0.23088480480871784,8.404040404040405
61,28,canonical_fixed,0.303030303030303,0.2675974858474858,28.0
61,28,static,0.303030303030303,0.2675974858474858,28.0
61,28,value,0.303030303030303,0.2675974858474858,28.0
61,28,value_singleton,0.24747474747474751,0.2011969264395735,10.254208754208754
61,28,static_value,0.27441077441077444,0.23088480480871784,8.404040404040405
62,4,canonical_fixed,0.1397306397306397,0.1056501307000533,4.0
62,4,static,0.18686868686868685,0.13980848318348318,4.0
62,4,value,0.14814814814814814,0.10512021580295237,4.0
62,4,value_singleton,0.14309764309764306,0.10104455468851753,3.9966329966329965
62,4,static_value,0.18686868686868685,0.13980848318348318,4.0
62,8,canonical_fixed,0.15488215488215484,0.1234198836079641,8.0
62,8,static,0.24579124579124578,0.19541006609713704,8.0
62,8,value,0.20370370370370372,0.16585212272247876,6.277777777777778
62,8,value_singleton,0.18855218855218858,0.151186459300933,6.1767676767676765
62,8,static_value,0.21380471380471378,0.16321582420847125,5.808080808080808
62,16,canonical_fixed,0.23232323232323238,0.18910019147519147,16.0
62,16,static,0.28114478114478114,0.2329335941835942,16.0
62,16,value,0.21885521885521886,0.18323838863235148,7.089225589225589
62,16,value_singleton,0.20033670033670037,0.16593931738196444,6.91919191919192
62,16,static_value,0.2205387205387206,0.17247220100161276,6.18013468013468
62,28,canonical_fixed,0.28787878787878785,0.24678099678099677,28.0
62,28,static,0.28787878787878785,0.24678099678099677,28.0
62,28,value,0.28787878787878785,0.24678099678099677,28.0
62,28,value_singleton,0.202020202020202,0.16677265071529776,6.941077441077441
62,28,static_value,0.2205387205387206,0.17247220100161276,6.213804713804714
63,4,canonical_fixed,0.1835016835016835,0.1414864771666242,4.0
63,4,static,0.18181818181818177,0.1388898291036449,4.0
63,4,value,0.1767676767676768,0.1393310611801991,4.0
63,4,value_singleton,0.1582491582491582,0.1261669425345896,4.0
63,4,static_value,0.18181818181818177,0.1388898291036449,4.0
63,8,canonical_fixed,0.21043771043771042,0.18011865748630454,8.0
63,8,static,0.26936026936026936,0.22856991619491618,8.0
63,8,value,0.24747474747474751,0.2043213957095536,6.814814814814815
63,8,value_singleton,0.2609427609427609,0.2178850773409597,7.841750841750842
63,8,static_value,0.2609427609427609,0.22314866097954333,7.107744107744108
63,16,canonical_fixed,0.27441077441077444,0.2356312837489308,16.0
63,16,static,0.31986531986531985,0.2726795981795982,16.0
63,16,value,0.27441077441077444,0.2293481606113185,7.570707070707071
63,16,value_singleton,0.28114478114478114,0.23935031471796178,9.363636363636363
63,16,static_value,0.2845117845117845,0.2511196205755029,8.671717171717171
63,28,canonical_fixed,0.3282828282828283,0.2858471250971251,28.0
63,28,static,0.3282828282828283,0.2858471250971251,28.0
63,28,value,0.2727272727272727,0.22807038283354072,7.651515151515151
63,28,value_singleton,0.28114478114478114,0.2390775874452345,9.419191919191919
63,28,static_value,0.2861952861952862,0.2522704142262966,8.789562289562289
